# experts.csv — справочник ЭКСПЕРТОВ (ARCHITECTURE.md §3.2, узел Expert + Facility).
# ПРИМЕРНЫЕ 5-10 строк (ФИО ВЫМЫШЛЕННЫЕ, для демо). ЗАМЕНИТЬ перечнем сотрудников
# кейса — формат тот же (README_DB-стиль).
# Колонки согласованы с CanonEntity и схемой узла Expert (§3.2):
#   expert_id — стабильный ключ (KEY_PROPERTY.Expert = expert_id, §3.4)
#   name — ФИО; aliases — варианты написания ('Иванов И.И.';'Иванов Иван Иванович';translit)
#          через ';' (§3.2: иначе fuzzy-матчинг canonizer по экспертам не работает)
#   affiliation — организация → узел Facility + ребро WORKS_AT (load_references, §3.3)
#   competencies — области компетенции через ';' (список, §3.2)
expert_id,name,aliases,affiliation,competencies
expert_ivanov_ap,Иванов Андрей Петрович,Иванов А.П.;Ivanov A.P.;Иванов,Гипроникель,электрометаллургия;электроэкстракция никеля;циркуляция католита
expert_petrova_sn,Петрова Светлана Николаевна,Петрова С.Н.;Petrova S.N.;Петрова,Гипроникель,гидрометаллургия;автоклавное выщелачивание;очистка растворов
expert_sidorov_vk,Сидоров Виктор Кузьмич,Сидоров В.К.;Sidorov V.K.;Сидоров,Кольский научный центр РАН,пирометаллургия;взвешенная плавка;обеднение шлака
expert_kuznetsov_dm,Кузнецов Дмитрий Михайлович,Кузнецов Д.М.;Kuznetsov D.M.;Кузнецов,НИТУ МИСИС,флотация;обогащение руд;реагентные режимы
expert_smirnova_ea,Смирнова Елена Александровна,Смирнова Е.А.;Smirnova E.A.;Смирнова,Институт Гинцветмет,распределение МПГ;штейн и шлак;пробирный анализ
expert_orlov_ig,Орлов Игорь Геннадьевич,Орлов И.Г.;Orlov I.G.;Орлов,Норникель Технические сервисы,обессоливание воды;обратный осмос;водоподготовка
expert_fedotov_rs,Федотов Роман Сергеевич,Федотов Р.С.;Fedotov R.S.;Федотов,Норникель Технические сервисы,закачка шахтных вод;геоэкология;гидрогеология
expert_lebedeva_tv,Лебедева Татьяна Владимировна,Лебедева Т.В.;Lebedeva T.V.;Лебедева,Кольский научный центр РАН,экология;газоочистка;утилизация SO2
expert_morozov_an,Морозов Алексей Николаевич,Морозов А.Н.;Morozov A.N.;Морозов,НИТУ МИСИС,электрохимия;плотность тока;энергоэффективность электролиза
expert_volkov_pd,Волков Павел Дмитриевич,Волков П.Д.;Volkov P.D.;Волков,Гипроникель,прекурсоры катодных материалов;NCM;переработка кобальта
