# experiments.csv — справочник ЭКСПЕРИМЕНТОВ (ARCHITECTURE.md §3.2, узел Experiment).
# ПРИМЕРНЫЕ 5-10 строк для демо. ЗАМЕНИТЬ каталогом экспериментов кейса — формат тот же.
# Канонизация Experiment (§3.2): по нормализованному имени + году против этого файла;
# промах → exp_id=slug(name), unresolved=true.
# Колонки согласованы с CanonEntity и схемой узла Experiment (§3.2):
#   exp_id — стабильный ключ (KEY_PROPERTY.Experiment = exp_id, §3.4)
#   name — название эксперимента; aliases — варианты через ';' (§4.4)
#   year — год; geography — RU|foreign (§3.2)
#   description, summary — краткое описание/резюме (для извлечённых merger собирает из quotes)
exp_id,name,aliases,year,geography,description,summary
exp_catholyte_circ_2022,Опытная циркуляция католита при электроэкстракции никеля,испытания циркуляции католита,2022,RU,Пилотные испытания режимов циркуляции католита в ваннах электроэкстракции никеля,Определена оптимальная скорость циркуляции католита для повышения выхода по току
exp_pox_nickel_2021,Автоклавное выщелачивание никелевого концентрата,POX никелевого концентрата,2021,RU,Окислительное автоклавное выщелачивание сульфидного никелевого концентрата,Извлечение никеля в раствор превысило 97% при повышенном давлении кислорода
exp_heap_leach_cold_2020,Кучное выщелачивание в условиях холодного климата,,2020,foreign,Полупромышленные испытания кучного выщелачивания медно-никелевой руды при низких температурах,Показано снижение кинетики выщелачивания при отрицательных температурах
exp_slag_cleaning_2023,Электрообеднение конвертерного шлака,обеднение шлака в электропечи,2023,RU,Испытания электрообеднения конвертерного шлака для доизвлечения цветных металлов,Снижены потери никеля и меди со шлаком до целевых значений
exp_pgm_distribution_2022,Распределение МПГ между штейном и шлаком,распределение платиноидов штейн шлак,2022,RU,Балансовые опыты по распределению платиновых металлов при плавке на штейн,Оценены коэффициенты распределения Pt/Pd/Rh между штейном и шлаком
exp_desalination_ro_2021,Обессоливание технологической воды обратным осмосом,пилот обратного осмоса,2021,RU,Пилотная установка обратного осмоса для снижения содержания сульфатов и хлоридов,Достигнут сухой остаток ниже 1000 мг/дм3 при исходной минерализации выше нормы
exp_mine_water_injection_2020,Закачка шахтных вод в глубокие горизонты,подземное захоронение шахтных вод,2020,RU,Опытно-промышленная закачка минерализованных шахтных вод в поглощающие горизонты,Подтверждена приёмистость скважин и стабильность закачки
exp_flotation_reagent_2023,Оптимизация реагентного режима флотации,флотация реагенты,2023,RU,Лабораторные опыты по подбору собирателя и вспенивателя для сульфидной руды,Повышено извлечение никеля в концентрат при снижении расхода реагентов
exp_ncm_precursor_2023,Синтез NCM-прекурсора из растворов кобальта и никеля,получение прекурсора NCM,2023,foreign,Соосаждение гидроксидного прекурсора катодных материалов из сульфатных растворов,Получен прекурсор NCM заданной морфологии и состава
exp_sulfur_capture_2022,Утилизация SO2 с получением серной кислоты,улавливание серы газоочистка,2022,RU,Испытания узла улавливания SO2 из отходящих газов плавильного передела,Достигнута проектная степень улавливания серы
